name	kind	return_type	explicit_argument_count	parameters
touchRipple	distortionEffect	float2	7	float2,float4,float,float,float,float,float,float
trianglePixelate	distortionEffect	float2	2	float2,float4,float
tunnel	colorEffect	half4	7	float2,half4,float4,float,float,float,float,float,float
tunnelDistortion	distortionEffect	float2	4	float2,float4,float,float,float
turbulence	distortionEffect	float2	5	float2,float4,float,float,float,float
twirl	distortionEffect	float2	6	float2,float4,float,float,float,float,float
underwater	colorEffect	half4	4	float2,half4,float4,float,float,float
underwaterDisplacement	distortionEffect	float2	5	float2,float4,float,float,float,float
unsharpMask	layerEffect	half4	4	float2,layer,float2,float,float,float
vhsGlitch	colorEffect	half4	4	float2,half4,float4,float,float,float
vibrance	colorEffect	half4	2	float2,half4,float4,float
vignette	colorEffect	half4	4	float2,half4,float2,float,float,float
vignetteAnimated	colorEffect	half4	6	float2,half4,float2,float,float,float,float,float
vignetteBox	colorEffect	half4	4	float2,half4,float2,float,float,float
vignetteColored	colorEffect	half4	5	float2,half4,float2,float3,float,float,float
vignetteFilmBorder	colorEffect	half4	4	float2,half4,float2,float,float,float
vignetteFocus	colorEffect	half4	5	float2,half4,float2,float2,float,float,float
vignetteGradient	colorEffect	half4	5	float2,half4,float2,float3,float3,float,float
vignetteOval	colorEffect	half4	5	float2,half4,float2,float,float,float,float
vintagePhoto	colorEffect	half4	4	float2,half4,float2,float,float,float
voronoiCaustics	colorEffect	half4	5	float2,half4,float4,float,float,float,float
voronoiCells	colorEffect	half4	5	float2,half4,float4,float,float,float,float
voronoiCellular	colorEffect	half4	5	float2,half4,float4,float,float,float,float3
voronoiCrystal	colorEffect	half4	5	float2,half4,float4,float,float,float,float
voronoiDistort	distortionEffect	float2	4	float2,float4,float,float,float
voronoiEdgeGlow	colorEffect	half4	6	float2,half4,float4,float,float,float,float,float3
voronoiFrost	colorEffect	half4	5	float2,half4,float4,float,float,float,float
voronoiHoneycomb	colorEffect	half4	5	float2,half4,float4,float,float,float,float3
voronoiLava	colorEffect	half4	6	float2,half4,float4,float,float,float,float3,float3
voronoiLiquid	distortionEffect	float2	5	float2,float4,float,float,float,float
voronoiNoise	colorEffect	half4	5	float2,half4,float4,float,float,float,float
voronoiPlasma	colorEffect	half4	5	float2,half4,float4,float,float,float,float3
voronoiShattered	colorEffect	half4	5	float2,half4,float4,float,float,float,float3
voronoiStainedGlass	colorEffect	half4	5	float2,half4,float4,float,float,float,float
vortex	layerEffect	half4	5	float2,layer,float2,float2,float,float,float
waterReflection	colorEffect	half4	4	float2,half4,float4,float,float,float
waterSurface	distortionEffect	float2	5	float2,float4,float,float,float,float
wave	distortionEffect	float2	5	float2,float4,float,float,float,float
waveDistortion	distortionEffect	float2	6	float2,float4,float,float,float,float,float
waveFlag	distortionEffect	float2	5	float2,float4,float,float,float,float
windDisplacement	distortionEffect	float2	5	float2,float4,float,float,float,float
windowFrost	layerEffect	half4	3	float2,layer,float2,float,float
wireframeHologram	colorEffect	half4	4	float2,half4,float4,float,float,float
xrayEffect	colorEffect	half4	2	float2,half4,float,float
zigzag	distortionEffect	float2	5	float2,float4,float,float,float,float
